,step,mnist-acc,mnistm-acc,domain-acc
635,6350.0,0.96875,0.6875,0.8125
636,6360.0,1.0,0.9375,0.71875
637,6370.0,1.0,0.65625,0.703125
638,6380.0,0.96875,0.75,0.765625
639,6390.0,0.96875,0.84375,0.75
640,6400.0,1.0,0.84375,0.703125
641,6410.0,1.0,0.8125,0.59375
642,6420.0,1.0,0.625,0.703125
643,6430.0,0.96875,0.71875,0.640625
644,6440.0,0.9375,0.6875,0.71875
645,6450.0,1.0,0.9375,0.640625
646,6460.0,1.0,0.59375,0.75
647,6470.0,1.0,0.71875,0.6875
648,6480.0,1.0,0.71875,0.6875
649,6490.0,0.96875,0.625,0.640625
650,6500.0,1.0,0.8125,0.6875
651,6510.0,1.0,0.78125,0.75
652,6520.0,0.96875,0.65625,0.734375
653,6530.0,1.0,0.75,0.796875
654,6540.0,1.0,0.875,0.8125
655,6550.0,0.96875,0.75,0.625
656,6560.0,1.0,0.78125,0.6875
657,6570.0,0.96875,0.78125,0.640625
